text,label
"Your account balance: $2,432.19. Transaction dated 28-Feb: Groceries -$45.62. For queries call 1800-XXX-XXXX -HDFC Bank",ham
"Your SBI account XXXXXX4291 credited with INR 15,000.00 on 27-Feb-2026. Available balance: INR 22,450.75. -SBI",ham
"Chase: Transaction of $120.50 at AMAZON.COM on 02/28/2026. If unrecognized, call the number on your card.",ham
"Bank of America: Your payment of $350.00 was received on 02/27/2026. Thank you for banking with us.",ham
"Your OTP for online banking login is 847291. Valid for 10 minutes. Do not share this code with anyone. -ICICI Bank",ham
"Reminder: Your credit card bill of $1,234.67 is due on 05-Mar-2026. Pay now to avoid late fees. -Citi Bank",ham
"Wells Fargo: Your $500 transfer to John Smith was successful on 02/28/2026. Ref# WF20260228001.",ham
"Hey, can you send me my share of the rent money? I think it's around $450. Need it before the 1st.",ham
"TD Bank: Your account ending in 7823 has a low balance of $52.18. Consider making a deposit to avoid overdraft fees.",ham
"Hi, the check from Dad finally cleared! The $2,000 is now available in your account. Let me know when you see it.",ham
"Your Barclays card statement is now ready. Log in to view your balance and transactions for February 2026.",ham
"ICICI Bank: INR 5,000 debited from account XXXXXXXX2104 for UPI transaction to PhonePe. If not done by you, call 1800-XXX-XXXX.",ham
"Thank you for using your Visa card. Purchase: $29.99 at NETFLIX on 02/28/2026. Available balance: $1,042.33.",ham
"Hey, I sent you $80 on PayPal for last night's dinner. Let me know if you got it!",ham
"Reminder: Your auto-loan payment of $389.00 is scheduled for 03/01/2026. Ensure your account has sufficient funds.",ham
"HSBC: Your international transfer of $1,500 to account ending 4312 in UK has been processed. Ref: INT20260228.",ham
"Your Savings account earned $3.42 in interest for February 2026. Current balance: $8,925.11. -Chase Bank",ham
"Mom asked me to remind you - she transferred $300 to cover the medical bill. Check your bank account.",ham
"American Express: Your statement for Feb 2026 is ready. Total balance due: $847.65. Minimum payment: $25.",ham
"PNB: Your ATM withdrawal of Rs.10,000 at ATM ID PB005672 on 28-Feb-26 at 14:32 hrs. Balance: Rs.3,450.",ham
"Can you check if you received my wire transfer? I sent $1,200 from my account this morning for the freelance work.",ham
"Capital One: Your credit limit has been increased to $8,500 based on your excellent payment history.",ham
"Kotak Bank: Dear Customer, your FD of Rs.50,000 has matured. Renewal options available. Visit branch or call 1860-266-0811.",ham
"We received your loan application. A representative will contact you within 2 business days. -First National Bank",ham
"Your check for $750 has been deposited successfully. Funds will be available by 02/29/2026. -Bank of America",ham
"Hi, just checking - did you see the $200 I transferred for our trip? Needed it back before the weekend.",ham
"Axis Bank: Your credit card EMI of Rs.4,500 has been debited from your account. 6 installments remaining.",ham
"Your 2-year CD has matured. Current rate for renewal is 4.75% APY. Log in to your account to choose your options.",ham
"RBS: Your mortgage direct debit of £987.00 was collected on 28 Feb 2026. Remaining term: 14 years 2 months.",ham
"HSBC: You've successfully set up a standing order of £150 to SAVINGS ACCOUNT on the 1st of each month.",ham
"Reminder: Your credit score has been updated to 742. View your full report at our mobile app. -Discover",ham
"SBI: Your net banking transaction limit has been updated to Rs.2,00,000 as per your request. Call 1800-11-2211 for help.",ham
"Your joint account ending 3309 received a deposit of $4,200 on 02/28/2026. Updated balance: $6,812.47.",ham
"PayPal: You sent $250.00 to techfreelancer@email.com. This transaction will appear as PayPal on your statement.",ham
"Ally Bank: Your high-yield savings account earned 4.85% APY this month. Total interest earned year to date: $312.44.",ham
"Reminder from your financial advisor: Your IRA contribution limit for 2026 is $7,000. Log in to maximize your investment.",ham
"Your Zelle payment of $65 to Emily Johnson was successful. Funds typically arrive in minutes. -Chase",ham
"HDFC Bank: Your account XXXXXXX7621 credited with INR 25,000 salary. Balance: INR 37,890.25. 28-Feb-2026.",ham
"Statement Alert: Your checking account had 12 transactions in February totaling $3,214.88. Log in to review.",ham
"Hey could you transfer the $120 you owe me for the concert tickets? My PayPal is user@email.com whenever you get a chance.",ham
"Your Nationwide ISA received a deposit of £200 on 28/02/2026. Current ISA balance: £4,850.00.",ham
"IMPORTANT: Your PIN entry was incorrect 3 times. Your card has been temporarily blocked. Call 1800-XXX-XXXX to unblock. -SBI",ham
"Your auto-pay for electricity bill of $143.27 was processed from your checking account. -Bank of America",ham
"IDBI Bank: Your savings account interest of Rs.1,250 has been credited for Q4. Current balance: Rs.89,340.",ham
"Your credit card payment of $500 was received. Remaining balance: $1,247.33. Thank you. -Wells Fargo",ham
"ALERT: We have placed a temporary hold on your Bank of America account due to multiple failed login attempts. Call 1-877-000-1234 to verify.",spam
"Your Google Pay account has been compromised. Verify your identity within 2 hours or funds will be frozen: http://gpay-verify.net",spam
"Attention! A cashier check of $4,800 has been issued from your account. To dispute, call us NOW at 1-800-555-9090.",spam
"Claim your $1,000 pandemic relief stimulus from your bank! Funds expire in 48 hours. Click: http://relief-fund.biz",spam
"WIRING ALERT: $9,999 is being wired out of your account. Authorize? Reply YES/NO. Unauthorized? Call 1-888-555-4321.",spam
"Your Citibank online access has been disabled. To restore, click the link and provide your details: http://citi-restore.com",spam
"URGENT from FDIC: Your bank has been flagged for fraudulent activity. Protect your funds now: http://fdic-protect.net",spam
"You have a pending payment of $3,200 to an unknown account. Stop it now: http://stop-transfer.biz/cancel",spam
"Special Offer: Get a $5,000 credit line with ZERO verification. No questions asked. Text CREDIT to 77890 now!",spam
"Your account with Santander Bank has been restricted. Please verify at: http://santander-verify.com immediately.",spam
"IRS NOTICE: Tax lien placed on your bank account for $2,300 unpaid. Clear it now to avoid seizure: http://irs-lien.com",spam
"WINNERS NOTIFICATION: You've been selected to receive $500 cash from your bank's anniversary prize draw. Claim via: http://prize.biz",spam
"Debit card BLOCKED: Your Mastercard ending 6721 has been flagged. Unblock by verifying: http://mc-unblock.info",spam
"DEBT COLLECTORS ALERT: Your unpaid loan of $8,200 is being sent to collections. Pay now to settle: http://settle-debt.com",spam
"Student Loan Forgiveness: Your bank qualifies you for $20,000 in loan forgiveness! Apply now: http://loanforgive.biz",spam
"Your PayPal has been charged $499 for a Bitcoin purchase. Not you? Cancel here: http://pp-cancel.net immediately!",spam
"Investment Alert: Earn 20% monthly returns on your idle bank balance. Guaranteed! Chat our expert: wa.me/15559876",spam
"Hello! Due to irregular activity, your Regions Bank account has been suspended. Fix it here: http://regions-fix.biz",spam
"FINAL NOTICE: Your credit card minimum payment was missed. Avoid legal action - pay NOW: http://card-pay.biz",spam
"Winning notification: A random selection of bank account holders win $2,500 today. You are selected! Claim: http://win.biz",spam
"Attention U.S. Bank customer: A charge of $1,150 at iTunes was made. Dispute by calling 888-000-4444 NOW.",spam
"Guaranteed returns! Invest in our forex trading pool. Minimum $300. Profits sent to your bank weekly. DM for details.",spam
"Your SunTrust bank account is being audited. Verify your identity to avoid suspension: http://suntrust-audit.net",spam
"Your pension fund has released a payment of $4,500 to your account. Click to confirm receipt: http://pension-claim.biz",spam
"Hello Customer, SWIFT transfer of $11,000 has been initiated. If not authorized, visit: http://swift-stop.net NOW.",spam
"You owe $350 on your bank overdraft. Failure to pay in 24 hours will result in legal action. Pay at: http://overdraft-pay.com",spam
"ALERT Truist Bank: Unusual login detected. Your account access is blocked. Verify: http://truist-secure.biz",spam
"Congratulations! Your bank has approved a $15,000 home improvement loan at 0% APR for 12 months. Claim: http://loan.biz",spam
"Federal Reserve Notice: Emergency funds are available for your bank account. Claim $3,000 here: http://fed-funds.biz",spam
"WARNING: Your card was used for a $678 transaction at Walmart. Dispute it or confirm: http://card-dispute.net",spam
"Transfer of R14,500 from your FNB account is in progress. To cancel, call 0861-000-111 or visit http://fnb-cancel.net",spam
"CASH BACK ALERT: You are owed $742.50 in unclaimed bank cashback rewards. Redeem via: http://rewards-redeem.com",spam
"Earn $3,000/week by becoming a financial agent from home. No experience needed. Your bank earnings go directly to you.",spam
"BLOCKED ACCOUNT: Your Westpac account has been restricted. Please confirm your details at: http://westpac-fix.net",spam
"RBC Royal Bank: Your account shows a suspicious deposit of $6,000 requiring verification. Log in: http://rbc-verify.biz",spam
"Congratulations! The bank lottery has selected you to win $10,000. Send $100 processing fee to claim. Reply for details.",spam
"SECURITY BREACH: Your routing number was exposed in a data breach. Protect your funds now: http://breach-protect.com",spam
"You have been pre-selected for our Platinum Visa with $20,000 limit. No income proof needed. Apply: http://platinumvisa.biz",spam
"NatWest: Your account has been temporarily locked. Verify your info to restore access: http://natwest-restore.net",spam
"Crypto opportunity: Turn $500 into $8,000 in 72 hours using our AI bank trading bot. Join our Telegram group now.",spam
"Your Lloyds Bank account requires verification due to a recent security update. Complete it: http://lloyds-update.biz",spam
"HSBC FRAUD TEAM: We detected a £1,200 transfer to an overseas account. Call 0800-111-2222 or visit http://hsbc-halt.com",spam
"Win a $1,000 Visa gift card just for completing a short bank survey: http://bank-survey.biz - takes only 2 minutes!",spam
"MoneySuperMarket: You are eligible for debt consolidation up to $30,000. No credit check. Apply: http://debthelp.biz",spam
"Dear customer your account will be debited $299 monthly for premium banking. Cancel at: http://cancel-premium.biz",spam
"Urgent: A legal hold has been placed on your bank account by court order. Contact our lawyer: legalteam@funds-release.com",spam
"Your Navy Federal credit card ending 3812 was charged $1,540 at Target. Dispute here: http://navyfed-dispute.com",spam
"FREE INVESTMENT: No risk! Double your savings in 30 days with our bank-backed fund. Invest minimum $200 today.",spam
"ALERT: A new payee has been added to your Commonwealth Bank account. If not you, call 13-2221 or visit http://cba-stop.biz",spam
"Your Nationwide account has been compromised. Reset your credentials at: http://nationwide-reset.net to secure your money.",spam
"Account at Risk: We noticed 5 failed login attempts on your TD Bank account. Lock it now: http://td-lock.net",spam
"50% interest rate on savings! Move your money to our guaranteed offshore fund. Minimum $1,000. Contact us today!",spam
"Chase Bank: Dear customer a check for $3,750 has cleared your account. Not authorized? Visit: http://chase-dispute.biz",spam
"Hi it's David. I'm from the bank security team. Your account was hacked. Reply with your PIN so we can protect you.",spam
"FINAL DEMAND: Pay your outstanding loan of $6,400 now or face court proceedings. Visit: http://loan-demand.biz TODAY.",spam
"Zelle fraud alert: Someone is requesting $1,800 from your Zelle wallet. Block it now: http://zelle-block.biz",spam
"Your NetBank session has expired. For security, re-login here: http://netbank-login.biz/reauth to protect your account.",spam
"HSBC UK: We've identified a suspicious £890 transaction. To prevent loss, secure your account: http://hsbc-uk-secure.net",spam
"Claim your COVID relief cash of $1,400 deposited by the government into a special holding account. Verify: http://covid-cash.biz",spam
"Your First Direct account requires immediate verification. Failure will result in suspension: http://firstdirect-check.net",spam
"You have earned $200 in unused reward points from your credit card. Convert to cash now: http://rewards-cash.biz TODAY.",spam
"WIRE FRAUD ALERT BANK OF SCOTLAND: A £5,000 transfer to Dubai was attempted. Stop it: http://bos-stop.net",spam
"ANZ Bank: 3 failed ATM attempts on your card. It's been blocked. Reactivate: http://anz-reactivate.biz immediately.",spam
"SPECIAL LOAN OFFER: Get a payday loan up to $5,000 in 30 minutes. No bank account needed. Apply: http://payday.biz",spam
"Your account has been selected for a government financial aid disbursement of $2,800. Provide bank details to claim.",spam
"ING Bank: Your account balance is negative. Avoid charges by topping up. Click for payment options: http://ing-topup.biz",spam
"Invest your bank savings in gold-backed bonds. Guaranteed 15% annual return. Limited slots! Contact: invest@goldbonds.biz",spam
"Congratulations! Based on your banking history, you qualify for a free credit score boost. Verify here: http://score-boost.biz",spam
"Your Standard Chartered Bank account is on hold pending AML verification. Respond to: compliance@stdchart-verify.net",spam
"OVERDRAFT WARNING: Your account is $250 in deficit. Pay now to avoid legal action: http://overdraft-legal.biz",spam
"Hi, your bank card was found to be linked to fraudulent activity. Call our risk team at 0900-BANK-SCAM to clear your name.",spam
"Your Citibank card has been used to purchase $1,200 in gift cards. Dispute immediately: http://citi-giftcard-dispute.biz",spam
"Security alert from BBVA: Unauthorized access detected on your account. Verify identity: http://bbva-verify.biz NOW.",spam
"Chase: A $75.23 was withdrawn from your checking account ending 4391 at AMZN*MKTP on 02/28/2026. Bal: $1,847.92.",ham
"SBI: Dear Customer, your account XXXXXX3821 has been credited with INR 32,500.00 on 28-Feb-2026. -State Bank of India",ham
"Your scheduled bill payment of $142.00 to COMCAST was processed from your checking account today. -Wells Fargo",ham
"A check deposit of $1,500.00 was made to your account. Funds may not be immediately available. -Bank of America",ham
"NatWest: Payment of £245.00 to BRITISH GAS on 28 Feb 2026 successful. Ref: BG20260228. Balance: £1,432.87.",ham
"Your OTP for ICICI Bank NetBanking is 629183. It is valid for 10 minutes. Do not share this code with anyone. -ICICI",ham
"Direct Deposit Alert: Your employer payroll of $2,340.00 was deposited into your Chase checking account ending 7823.",ham
"Barclays: You've made a payment of £55.00 to SPOTIFY on 28/02/2026. Current balance: £2,108.55.",ham
"Hey, I got the refund from the landlord. He transferred $800 to my account. I'll send you your half tonight.",ham
"HDFC Bank: Rs.2,500 spent on SWIGGY on 28-02-2026 using card XX1234. Avail. limit: Rs.47,500. SMS BLOCK to 5676782.",ham
"Reminder: Your Chase credit card minimum payment of $35.00 is due in 3 days. Log in to pay your balance.",ham
"Your Ally savings account earned 4.85% APY last month. Interest credited: $27.43. Balance: $6,842.11.",ham
"TD Canada Trust: A purchase of $43.67 was made at SHOPPERS DRUG MART with your TD Visa ending 2209 on Feb 28.",ham
"Your recurring transfer of $200 to your savings account was completed successfully. -US Bank",ham
"Good morning! Your account balance as of today is $3,241.78. Your last transaction: -$67.89 at Whole Foods. -Chase",ham
"Axis Bank: INR 10,000 withdrawn at ATM ID AX004532 on 28-Feb-26 at 10:45 hrs. Available balance: INR 18,450.00.",ham
"Hi, just transferred you $250 via Venmo for the flights. Let me know if you get it! Enjoy the trip.",ham
"PNC Bank: Your mortgage payment of $1,247.00 has been successfully processed. Remaining balance: $142,380.00.",ham
"Your Regions Bank account ending 5571 had a deposit of $450.00 on 02/28/2026. Updated balance: $1,023.44.",ham
"Kotak Bank: Your EMI of Rs.8,450 for Auto Loan has been debited on 28-Feb-2026. Remaining tenure: 24 months.",ham
"Your international wire of $2,000 to account ending 4421 in Canada has been processed. ETA 1-3 business days. -RBC",ham
"Your Discover card balance is $643.21 with a payment due Mar 15. Minimum due: $25. Pay at discover.com or call.",ham
"HSBC: A transfer of £750 was received into your current account from J. Williams on 28/02/2026. Balance: £2,914.43.",ham
"Hey, the company finally reimbursed me $320 for the conference expenses. The bank transfer just came through.",ham
"Your FD of Rs.1,00,000 with Canara Bank at 7.25% p.a. has been renewed for 1 year. Maturity: 28-Feb-2027.",ham
"SBI YONO: Your UPI transaction of Rs.500 to merchant DOMINOS was successful. Ref: 602840291824. -SBI",ham
"Your credit limit increase request has been approved. New limit: $10,500 on your Citi card ending 7890.",ham
"KeyBank: Low balance alert - your account ending 2341 has a balance of $78.33. Consider making a deposit today.",ham
"Your auto-debit of $89.99 for Amazon Prime membership was processed from your account ending 3392. -Capital One",ham
"Thanks for your payment! $200 received toward your personal loan. Current balance: $4,800.00. -LightStream",ham
"Your PayPal transfer of $150.00 to sarah.jones@email.com was sent. It typically arrives within minutes.",ham
"Scotiabank: Your chequing account was debited $34.56 for NETFLIX on Feb 28, 2026. Avail. balance: $2,103.45.",ham
"Hey, did the $500 rent deposit hit your account yet? I sent it this morning through my bank's bill pay.",ham
"IDFC Bank: Your credit card statement for Feb 2026 is ready. Total amount due: Rs.12,340. Min. due: Rs.500 by 15-Mar.",ham
"Your bi-weekly paycheck of $1,978.34 has been deposited into your account. -Fidelity Direct",ham
"Reminder: Property tax of $1,850 is due 03/15/2026. Set up auto-pay in your online banking portal. -City Bank",ham
"Your Marcus by Goldman Sachs savings account rate is now 4.50% APY. Current balance: $12,300.00.",ham
"Citibank: A payment of $300.00 was received on your credit card. Thank you! Outstanding balance: $1,247.65.",ham
"Bank of Baroda: Dear Customer, INR 15,000 transferred via NEFT to Raj Kumar on 28-02-2026. UTR: BKID0203847.",ham
"Your Chase Sapphire earned 3,450 bonus points last month. Total points: 48,290. Redeem at chase.com/rewards.",ham
"Your loan application status: Pre-approved for $12,000 personal loan at 9.9% APR. Visit branch to proceed. -SBI",ham
"ICICI Pru: Your life insurance premium of Rs.2,200 has been auto-debited from your ICICI Bank account for March.",ham
"Your check #1042 for $175.00 was cashed on 02/28/2026. Updated balance: $2,340.12. -Citizens Bank",ham
"Transfer complete: $1,200 sent to your savings account via standing order on 28/02/2026. Balance: £8,432. -Lloyds",ham
"Your credit score has been updated to 768 (+4 from last month). View your full report in the app. -Discover",ham
"Hey bro, I borrowed $200 from you for the car repair last month, finally sent it back. Check your PayPal.",ham
"BOI: Dear Customer, your account XX9021 has been debited Rs.1,450 for electricity bill via BillPay on 28-Feb-2026.",ham
"Your ANZ home loan rate has been fixed at 6.35% p.a. for 2 years. Repayment: $1,432/month commencing 01-Mar-2026.",ham
"Nationwide: Your ISA allowance for 2026-2027 tax year is £20,000. Visit nationwide.co.uk to maximize your savings.",ham
"Your Huntington Bank account ending 9821 is now enrolled in Standby Cash. Up to $1,000 available if needed.",ham
"HDFC Bank: Your cheque no. 003421 for Rs.5,000 issued to XYZ Ltd has been cleared. Balance: Rs.24,300.",ham
"Good news: Your security deposit of $950 was returned and credited to your checking account today. -Chase",ham
"Your standing order of £200 to SAVINGS ACCOUNT was processed on 28 Feb 2026. Balance: £3,870. -Halifax",ham
"Reminder: Your car loan payment of $412.33 is scheduled for auto-pay on 03/01/2026. -Navy Federal Credit Union",ham
"SBI: Rs.50,000 RTGS transfer from XYZ Ltd credited to your account XXXXXX4821 on 28-02-2026. Balance: Rs.78,320.",ham
"Your Capital One 360 account received a $500 external transfer from your linked Chase account on 02/28/2026.",ham
"Your AMEX Gold Card purchase: $234.00 at WHOLE FOODS MARKET on 02/28/2026. Available credit: $8,766.00.",ham
"Hi, just got paid! Splitting the concert tickets cost with you - sent $180 to your Revolut. Check it when you can.",ham
"ABSA Bank: R12,500.00 salary deposit received in your account ending 7743 on 28 Feb 2026. Balance: R23,890.00.",ham
"Your 401k contribution of $500.00 was processed for pay period ending 02/28/2026. Account balance: $34,120.00.",ham
"Alert: Your Fidelity brokerage account received a $1,000 transfer from your bank on 02/28/2026. Ref: FID-9021432.",ham
"Standard Chartered: Dear Customer, your account has been credited with USD 2,500 via SWIFT on 28-Feb-2026.",ham
"Your Revolut card was used for a payment of €42.50 at LIDL on 28 Feb 2026. Balance: €312.40.",ham
"Your salary of Rs.45,000 has been credited to your Punjab National Bank account XXXXXXX4312 on 28-Feb-2026.",ham
"Reminder from Kotak: Your credit card bill of Rs.14,200 is due on 05-Mar-2026. Pay by due date to avoid charges.",ham
"Transferwise (Wise): Your GBP 500 transfer to EUR 585.40 has been completed. Recipient: Jane Mueller, IBAN DE89...",ham
"Your HDFC Bank demat account received 50 shares of RELIANCE at Rs.2,890 via offline transfer on 28-Feb-2026.",ham
"Your Venmo transaction: Alex paid you $65.00 for 'Dinner split'. Available balance: $312.40.",ham
"Your investment of Rs.5,000 in SBI Bluechip Fund has been processed. Units allotted: 12.345. Folio: 1234567890.",ham
"Your BECU savings account interest of $12.34 was credited for February 2026. New balance: $9,212.34.",ham
